StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q139,Q200_First Click,Q200_Last Click,Q200_Page Submit,Q200_Click Count,Q202_First Click,Q202_Last Click,Q202_Page Submit,Q202_Click Count,Q147,Q22,Q19,Q142,Q21,Q206,Q207,Q208,Q209,Q210,Q213,Q214,Q215,Q216,Q217,Q193,Q170,Q164,Q143,Q144,Q220,Q221,Q223,Q224,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129,Q130,Q172,Q174,Q176,Q178,Q180,Q182,Q184,Q186,Q188,Q190,Q192,Q194,Q196,Q198,Q200,Q202,Q204,SC0,SC1,SC2,SC3,SC4,SC5,confirmation_code,treatment_group,Comprehension score1,Enter Embedded Data Field Name Here...,Comprehension score2,Comprehension score3,ins_code,no_ins_code,LotteryQuiz1,LotteryQuiz2,LotteryQuiz3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q139,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"True or False, If you do not enter your correct MTurk ID when prompted, then the MTurk requester may not be able to give you the bonus you earn in the ranching game.","Your gain in net worth at the end of the game will be translated into real-life bonus money at a rate of $50,000 of game money to $1 of real money. 
You start off with $600,000, so if at the end of the game, you have $625,000 in the net worth (bank account plus the value of your herd), how much bonus money will you get after the game ends?","True or False, before starting the game, you will play five “practice rounds” that will not count towards your final net worth.",How many rounds will you play in the game that counts for your MTurk bonus?,"If you do not complete the survey after the simulation, will you receive your HIT payment and bonus?","True or False, If you do not enter your correct MTurk ID when prompted, then the MTurk requester may not be able to give you the bonus you earn in the ranching game.","Your gain in net worth at the end of the game will be translated into real-life bonus money at a rate of $50,000 of game money to $1 of real money. 
You start off with $600,000, so if at the end of the game, you have $625,000 in the net worth (bank account plus the value of your herd), how much bonus money will you get after the game ends?","True or False, before starting the game, you will play five “practice rounds” that will not count towards your final net worth.",How many rounds will you play in the game that counts for your MTurk bonus?,"If you do not complete the survey after the simulation, will you receive your HIT payment and bonus?","True or False, If you do not enter your correct MTurk ID when prompted, then the MTurk requester may not be able to give you the bonus you earn in the ranching game.","Your gain in net worth at the end of the game will be translated into real-life bonus money at a rate of $50,000 of game money to $1 of real money. 
You start off with $600,000, so if at the end of the game, you have $625,000 in the net worth (bank account plus the value of your herd), how much bonus money will you get after the game ends?","True or False, before starting the game, you will play five “practice rounds” that will not count towards your final net worth.",How many rounds will you play in the game that counts for your MTurk bonus?,"If you do not complete the survey after the simulation, will you receive your HIT payment and bonus?","Please enter your MTurk Worker ID. (To find your MTurk Worker ID, make sure you are signed into MTurk and then follow this link: www.mturk.com/mturk/dashboard. Your MTurk Worker ID should be in the top right corner.)
Be sure to enter your correct MTurk Worker ID. We will need your ID to award your bonuses and will be unable to award bonuses without correct IDs.","Please click the URL below in order to run the game.
	A new tab will open where you will play the game.
	Enter the following code when prompted on the first screen: [Field-ins_code]
	After completing the game, copy the completion code given to you and enter it below.
	Then complete the last two sections of this survey.


 

Leave this tab open to be able to access the ranching info below and to return to the rest of the survey after the simulation. 

 

Click here to open the simulation.

 

If you have any technical problems with the simulation, email us at ranching.io@gmail.com.

 
Ranching game completion code:","Please click the URL below in order to run the game. A new tab will open where you will play the game. Enter the following code when prompted on the first screen: [Field-no_ins_code] After completing the game, copy the completion code given to you and enter it below. Then complete the last two sections of this survey.

 

Leave this tab open to be able to access the ranching info below and to return to the rest of the survey after the simulation. 

 

 

Click here to open the simulation.

 

 

If you have any technical problems with the simulation, email us at ranching.io@gmail.com

 

 

Ranching game completion code:","In the lottery choices after the ranching game, how many participants will be selected for an additional MTurk bonus determined by your lottery choices?","If you are selected to have one of your lottery choices implemented, which lottery will be chosen?","In the lottery choices after the ranching game, how many participants will be selected for an additional MTurk bonus determined by your lottery choices?","If you are selected to have one of your lottery choices implemented, which lottery will be chosen?","In the lottery choices after the ranching game, how many participants will be selected for an additional MTurk bonus determined by your lottery choices?","If you are selected to have one of your lottery choices implemented, which lottery will be chosen?",Which lottery would you rather play?,Which lottery would you rather play?,Which lottery would you rather play?,Which lottery would you rather play?,Which lottery would you rather play?,Which lottery would you rather play?,Which lottery would you rather play?,Which lottery would you rather play?,Which lottery would you rather play?,Select Gender,Enter Age,Please specify your race (select all that apply),Please specify your ethnicity (select all that apply),Please select five if you are reading this question,In which country do you reside?,In what state do you reside?,What is your five digit zip code?,"Before this experiment, how much did you know about cattle ranching?","Before this experiment, how much did you know about drought?","On a scale of 1 to 7, how much does drought impact your life?",Are you a vegetarian or vegan?,What was your total household income before taxes from all sources in 2016?,What is the highest level of education you have completed?,Do you agree or disagree: leave this question blank if you are still reading.,"When you vote, if there are only Democrats or Republicans on the ballot, which party do you tend to vote for?",Do you identify as an environmentalist?,Comprehension1,Comprehension2,Comprehension3,LotteryQuiz1,LotteryQuiz2,LotteryQuiz3,confirmation_code,treatment_group,Comprehension score1,Enter Embedded Data Field Name Here...,Comprehension score2,Comprehension score3,ins_code,no_ins_code,LotteryQuiz1,LotteryQuiz2,LotteryQuiz3
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID136""}","{""ImportId"":""QID200_FIRST_CLICK""}","{""ImportId"":""QID200_LAST_CLICK""}","{""ImportId"":""QID200_PAGE_SUBMIT""}","{""ImportId"":""QID200_CLICK_COUNT""}","{""ImportId"":""QID202_FIRST_CLICK""}","{""ImportId"":""QID202_LAST_CLICK""}","{""ImportId"":""QID202_PAGE_SUBMIT""}","{""ImportId"":""QID202_CLICK_COUNT""}","{""ImportId"":""QID147""}","{""ImportId"":""QID22""}","{""ImportId"":""QID19""}","{""ImportId"":""QID142""}","{""ImportId"":""QID21""}","{""ImportId"":""QID206""}","{""ImportId"":""QID207""}","{""ImportId"":""QID208""}","{""ImportId"":""QID209""}","{""ImportId"":""QID210""}","{""ImportId"":""QID213""}","{""ImportId"":""QID214""}","{""ImportId"":""QID215""}","{""ImportId"":""QID216""}","{""ImportId"":""QID217""}","{""ImportId"":""QID193_TEXT""}","{""ImportId"":""QID170_TEXT""}","{""ImportId"":""QID164_TEXT""}","{""ImportId"":""QID143""}","{""ImportId"":""QID144""}","{""ImportId"":""QID220""}","{""ImportId"":""QID221""}","{""ImportId"":""QID223""}","{""ImportId"":""QID224""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129""}","{""ImportId"":""QID130""}","{""ImportId"":""QID171""}","{""ImportId"":""QID172_TEXT""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""QID176""}","{""ImportId"":""QID177""}","{""ImportId"":""QID178_TEXT""}","{""ImportId"":""QID179""}","{""ImportId"":""QID180""}","{""ImportId"":""QID181""}","{""ImportId"":""QID182""}","{""ImportId"":""QID183""}","{""ImportId"":""QID184""}","{""ImportId"":""QID185""}","{""ImportId"":""QID186""}","{""ImportId"":""QID187""}","{""ImportId"":""SC_a3PAzqRQMt3TXYV""}","{""ImportId"":""SC_8DfF1CXtOu72zqd""}","{""ImportId"":""SC_6DWyXoveosqce6p""}","{""ImportId"":""SC_3qr0hbGC7txcGJT""}","{""ImportId"":""SC_e2vXR33WEQdiQND""}","{""ImportId"":""SC_bNwkR9yoMpuPlS5""}","{""ImportId"":""confirmation_code""}","{""ImportId"":""treatment_group""}","{""ImportId"":""Comprehension score1""}","{""ImportId"":""Enter Embedded Data Field Name Here...""}","{""ImportId"":""Comprehension score2""}","{""ImportId"":""Comprehension score3""}","{""ImportId"":""ins_code""}","{""ImportId"":""no_ins_code""}","{""ImportId"":""LotteryQuiz1""}","{""ImportId"":""LotteryQuiz2""}","{""ImportId"":""LotteryQuiz3""}"
2017-08-29 17:36:11,2017-08-29 17:50:29,IP Address,128.138.65.165,100,858,True,2017-08-29 17:50:29,R_el02CxiIna9ufC5,,,,,40.014999389648,-105.27059936523,anonymous,,I consent to participate in this study,0,0,5.448,0,,,,,True,$0.50,True,10,No,,,,,,,,,,,1234567,40593,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery A: 80% chance of winning $2.00, 20% chance of winning $1.60","Lottery A: 90% chance of winning $2.00, 10% chance of winning $1.60",,,,,,,,,,,,,,,,,,7,0,0,2,0,0,69321,ins,5,,,,1388016,,2,,
2017-08-30 08:49:07,2017-08-30 08:59:43,IP Address,128.138.65.136,100,636,True,2017-08-30 08:59:43,R_6te3tEgF6kPXdqZ,,,,,40.014999389648,-105.27059936523,anonymous,,I consent to participate in this study,,,,,0,0,12.884,0,True,$0.50,True,10,No,,,,,,,,,,,Max Test,,42307,10,One lottery will be randomly selected,,,,,"Lottery B: 10% chance of winning $3.85, 90% chance of winning $0.10","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery B: 50% chance of winning $3.85, 50% chance of winning $0.10","Lottery B: 60% chance of winning $3.85, 40% chance of winning $0.10","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery A: 80% chance of winning $2.00, 20% chance of winning $1.60","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",,,,,,,,,,,,,,,,,,7,0,0,2,0,0,57735,no_ins,5,,,,,2257764,2,,
2017-08-30 10:21:03,2017-08-30 11:47:32,IP Address,128.138.65.136,100,5189,True,2017-08-30 11:47:32,R_6g3y305EWgUrWqV,,,,,40.014999389648,-105.27059936523,anonymous,,I consent to participate in this study,6.747,8.862,11.938,2,,,,,,,,,,True,$0.50,True,10,No,,,,,,max,4345,,10,One lottery will be randomly selected,,,,,"Lottery B: 10% chance of winning $3.85, 90% chance of winning $0.10","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery B: 30% chance of winning $3.85, 70% chance of winning $0.10","Lottery B: 40% chance of winning $3.85, 60% chance of winning $0.10","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery B: 60% chance of winning $3.85, 40% chance of winning $0.10","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery A: 90% chance of winning $2.00, 10% chance of winning $1.60",,,,,,,,,,,,,,,,,,7,5,0,2,0,0,93089,ins,0,,5,,1933046,,2,,
2017-08-30 12:29:35,2017-08-30 13:06:51,IP Address,108.2.96.114,100,2236,True,2017-08-30 13:06:51,R_6SuGCSSePfWDGHX,,,,,39.846801757812,-75.711601257324,anonymous,,I consent to participate in this study,,,,,0,0,1154.321,0,True,$0.50,True,5,No,True,$0.50,True,10,No,,,,,,A1PTH9KTRO06EG,,16225,10,One lottery will be randomly selected,,,,,"Lottery B: 10% chance of winning $3.85, 90% chance of winning $0.10","Lottery B: 20% chance of winning $3.85, 80% chance of winning $0.10","Lottery B: 30% chance of winning $3.85, 70% chance of winning $0.10","Lottery B: 40% chance of winning $3.85, 60% chance of winning $0.10","Lottery B: 50% chance of winning $3.85, 50% chance of winning $0.10","Lottery B: 60% chance of winning $3.85, 40% chance of winning $0.10","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,22,"Black or African American,White or Caucasian",Not Hispanic or Latino,5,United States,PA Pennsylvania,19348,Nothing,Nothing,1 (No Impact),No,"$60,000 to $74,999",Bachelors degree,,"I vote for Democrats more often than ",No,11,5,0,2,0,0,90275,no_ins,4,,5,,,2708912,2,,
2017-08-30 12:15:01,2017-08-30 13:10:33,IP Address,73.182.224.118,100,3332,True,2017-08-30 13:10:33,R_38UEnHSkQLw9QNf,,,,,41.30940246582,-72.924003601074,anonymous,,I consent to participate in this study,,,,,0,0,1571.121,0,True,$0,True,10,No,True,$0.50,True,10,No,,,,,,A1TARNH07A75CG,,72316,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery B: 50% chance of winning $3.85, 50% chance of winning $0.10","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery A: 80% chance of winning $2.00, 20% chance of winning $1.60","Lottery A: 90% chance of winning $2.00, 10% chance of winning $1.60",Male,26,Black or African American,Not Hispanic or Latino,5,United States,CT Connecticut,06501,Nothing,Nothing,1 (No Impact),Yes,"$75,000 to $89,999",Bachelors degree,,"I am eligible, but I never vote",No,11,5,0,2,0,0,35997,no_ins,4,,5,,,2175803,2,,
2017-08-30 12:11:24,2017-08-30 13:15:30,IP Address,24.167.148.208,100,3846,True,2017-08-30 13:15:30,R_bmCYRN26DrX1p4N,,,,,36.071395874023,-79.76789855957,anonymous,,I consent to participate in this study,0,0,956.301,0,,,,,True,$0.50,True,10,No,,,,,,,,,,,A150GMV1YQWWB3,70952,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery A: 80% chance of winning $2.00, 20% chance of winning $1.60","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,38,White or Caucasian,Not Hispanic or Latino,5,United States,NC North Carolina,27406,Nothing,I've read or talked about drought at least once before,1 (No Impact),No,"$15,000 to $29,999","High school diploma or equivalent ",,"I nearly always vote for Democrats ",No,7,0,0,2,0,0,58434,ins,5,,,,1872238,,2,,
2017-08-30 12:43:16,2017-08-30 13:19:57,IP Address,75.97.156.47,100,2201,True,2017-08-30 13:19:57,R_0HUIzQZlKM8kqON,,,,,41.228302001953,-75.793502807617,anonymous,,I consent to participate in this study,,,,,0,0,1551.021,0,True,$0.50,True,10,No,,,,,,,,,,,A1945USNZHTROX,,79774,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery A: 80% chance of winning $2.00, 20% chance of winning $1.60","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,37,White or Caucasian,Not Hispanic or Latino,5,United States,PA Pennsylvania,19101,Nothing,Nothing,1 (No Impact),No,"$90,000 to $104,999",Bachelors degree,,"I vote for Democrats more often than ",No,7,0,0,2,0,0,68449,no_ins,5,,,,,2614040,2,,
2017-08-30 12:19:55,2017-08-30 13:25:28,IP Address,68.51.41.74,100,3933,True,2017-08-30 13:25:28,R_5sUfBoplaBCbkZn,,,,,39.592498779297,-86.111099243164,anonymous,,I consent to participate in this study,64.545,409.773,825.051,2,,,,,True,$0.50,True,10,No,,,,,,,,,,,A11P1OS26E6AMO,71068,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,32,White or Caucasian,Not Hispanic or Latino,5,United States,IN Indiana,46143,I've read or talked about cattle ranching at least once before,I am familiar with drought,2,No,"$60,000 to $74,999",Bachelors degree,,"I vote for Republicans more often than I vote for Democrats ",No,7,0,0,2,0,0,45851,ins,5,,,,1994352,,2,,
